"","Name","WeightClass","Bodyweight","Squat3","Deadlift2","Deadlift3","AttSquat3","AttDeadlift2","AttDeadlift3","Percent_Increase","D3_Success"
"1","Edmond Dumikyan","53",52.7,155,165,172.5,155,165,172.5,4.54545454545455,1
"2","Jakub Bonkowski","53",52.78,-137.5,182.5,185,137.5,182.5,185,1.36986301369863,1
"3","Jackson Watkins #1","53",42.25,55,70,80,55,70,80,14.2857142857143,1
"4","Ved Buryanovskiy","59",58.98,187.5,212.5,225,187.5,212.5,225,5.88235294117647,1
"5","Boris Bukatka","59",58.85,187.5,200,-215,187.5,200,215,7.5,0
"6","Danylo Volosianko","59",58.32,-165,202.5,207.5,165,202.5,207.5,2.46913580246914,1
"7","AlI AlshavI","59",57.59,-165,195,-202.5,165,195,202.5,3.84615384615385,0
"8","Oleksandr Pyshenkov","59",58.97,-170,175,-180,170,175,180,2.85714285714286,0
"9","Alexandr Ivanov","66",65.9,200,202.5,-220,200,202.5,220,8.64197530864197,0
"10","Terence Jacobs","66",64.17,162.5,210,220,162.5,210,220,4.76190476190476,1
"11","Leonid Koval","66",65.77,177.5,185,-205,177.5,185,205,10.8108108108108,0
"12","Teo Kalogjera","74",73.42,220,255,-262.5,220,255,262.5,2.94117647058824,0
"13","Vadim Plakhotnikov","74",70.26,230,260,-285,230,260,285,9.61538461538462,0
"14","Elmeri Kujala","74",72.95,207.5,240,255,207.5,240,255,6.25,1
"15","Agustin Lorenzo","74",72.1,195,-230,230,195,230,230,0,1
"16","Minh Vinh Anh Le","74",72.73,187.5,220,-225,187.5,220,225,2.27272727272727,0
"17","Shane McGarry","74",73.38,-160,-210,210,160,210,210,0,1
"18","Wiktor Tarnowski","74",72.44,-165,170,-175,165,170,175,2.94117647058824,0
"19","Mikuláš Sikora","83",80.89,-220,270,-287,220,270,287,6.2962962962963,0
"20","Aleksandr Ponamarev","83",82.47,-225,275,-285,225,275,285,3.63636363636364,0
"21","Theo Goff","83",82.28,205,255,-260,205,255,260,1.96078431372549,0
"22","Ostap Kosyk","83",82.64,-237.5,240,-250,237.5,240,250,4.16666666666667,0
"23","David Lacina","83",81.61,-205,250,262.5,205,250,262.5,5,1
"24","Aaron Hoxellari","83",82.09,-215,260,-270,215,260,270,3.84615384615385,0
"25","Dara McCullagh","83",81.38,-207.5,-255,-255,207.5,255,255,0,0
"26","Aaron Happonen","83",82.19,200,-237.5,-237.5,200,237.5,237.5,0,0
"27","Jack Hopkins","93",89.57,257.5,300.5,310,257.5,300.5,310,3.16139767054908,1
"28","Malik Bernoussi Triolet","93",92.82,267.5,285,-301,267.5,285,301,5.6140350877193,0
"29","Susa Oliver","93",93,250,250,265,250,250,265,6,1
"30","Dominik Fischer","93",91.79,222.5,257.5,267.5,222.5,257.5,267.5,3.88349514563107,1
"31","Silvan Heijnen","93",92.58,225,257.5,-267.5,225,257.5,267.5,3.88349514563107,0
"32","Ondrej Smetaník","93",91.73,220,230,-240,220,230,240,4.34782608695652,0
"33","Matvei Popov","53",52.84,137.5,150,160,137.5,150,160,6.66666666666667,1
"34","Salman Desai","53",51.85,-125,152.5,-157.5,125,152.5,157.5,3.27868852459016,0
"35","Boris Komissarov","59",58.84,200,202.5,220,200,202.5,220,8.64197530864197,1
"36","Thomas Acher","59",58.68,NA,212.5,220,NA,212.5,220,3.52941176470588,1
"37","Viliam Kovác","59",58.3,182.5,210,215,182.5,210,215,2.38095238095238,1
"38","Aykut Kaymak Mert","59",58.86,180,200,-215,180,200,215,7.5,0
"39","Diyaz Mukhamedin","59",58.96,-187.5,-175,NA,187.5,175,NA,NA,NA
"40","Jansen Zhen Hao Law","59",58.5,-160,205,212.5,160,205,212.5,3.65853658536585,1
"41","Alberto Herraiz Francés","66",65.22,-240,242.5,-257.5,240,242.5,257.5,6.18556701030928,0
"42","Egor Khutorov","66",65.44,217.5,210,-212.5,217.5,210,212.5,1.19047619047619,0
"43","Alex Cremins","66",64,-200,250,260,200,250,260,4,1
"44","Satveer Rai","66",64.58,192.5,255,-262.5,192.5,255,262.5,2.94117647058824,0
"45","Ciarán Murray","66",64.08,-222.5,230,-240,222.5,230,240,4.34782608695652,0
"46","Hayato Iwaki","66",64.4,195,-235,-247.5,195,235,247.5,5.31914893617021,0
"47","Alan Chung","66",65.5,207.5,-245,-245,207.5,245,245,0,0
"48","Jesus Amado","66",65.46,192.5,-240,-240,192.5,240,240,0,0
"49","Yuji Murata","66",65.52,-192.5,215,-225,192.5,215,225,4.65116279069767,0
"50","Yuya Fujii","74",73.66,-265,295,-308,265,295,308,4.40677966101695,0
"51","Ade Omisakin","74",73.48,252.5,297.5,300,252.5,297.5,300,0.840336134453782,1
"52","Carl Johansson","74",73.16,-247.5,282.5,297.5,247.5,282.5,297.5,5.30973451327434,1
"53","Aleksey Sergeenko","74",73.78,250,222.5,-225,250,222.5,225,1.12359550561798,0
"54","Andréa Bonetto","74",73.22,-255,-255,-255,255,255,255,0,0
"55","Joy Fernandes Aren","74",73.5,215,280,-285,215,280,285,1.78571428571429,0
"56","Khaled Benbachir","74",73.64,-225,-280,-280,225,280,280,0,0
"57","Eetu Aalto","74",73.64,-217.5,250,257.5,217.5,250,257.5,3,1
"58","Simen Johnson Myrvold","74",73.78,-222.5,-240,-240,222.5,240,240,0,0
"59","Josh Foyle","74",73.46,225,252.5,260,225,252.5,260,2.97029702970297,1
"60","Ke Wu Di","74",73.2,210,-255,-255,210,255,255,0,0
"61","Lars Engø-Monsen","74",73.38,217.5,235,242.5,217.5,235,242.5,3.19148936170213,1
"62","Patrik Lnenicka","74",73.46,230,245,-255,230,245,255,4.08163265306122,0
"63","Posta Krisztian","74",73.8,215,237.5,250,215,237.5,250,5.26315789473684,1
"64","Dmitrii Stepanov","74",73.36,227.5,-232.5,NA,227.5,232.5,NA,NA,NA
"65","Raffael Schnell","74",73.68,205,-242.5,245,205,242.5,245,1.03092783505155,1
"66","Aybar Turan","74",72.76,210,220,240,210,220,240,9.09090909090909,1
"67","Luc Koekelkoren","74",73.78,-200,-247.5,-247.5,200,247.5,247.5,0,0
"68","Yuki Otake","74",73.24,197.5,215,222.5,197.5,215,222.5,3.48837209302326,1
"69","Edoardo Mazzucchielli","83",82.08,282.5,302.5,-312.5,282.5,302.5,312.5,3.30578512396694,0
"70","Adam Jansson","83",82.02,270,290,-297.5,270,290,297.5,2.58620689655172,0
"71","Robert Barsegian","83",82.34,252.5,282.5,-295,252.5,282.5,295,4.42477876106195,0
"72","Anthony Costarigot","83",82.72,252.5,-290,-290,252.5,290,290,0,0
"73","Luke Wilson #2","83",82.56,260,265,275,260,265,275,3.77358490566038,1
"74","Thomas Czaplicki","83",82.74,-252.5,295,-300,252.5,295,300,1.69491525423729,0
"75","Eetu Kumpulainen","83",82.7,-255,275,-282.5,255,275,282.5,2.72727272727273,0
"76","Ion Calmic","83",81.84,235,265,275,235,265,275,3.77358490566038,1
"77","Denis Kocar","83",81.44,220,250,255,220,250,255,2,1
"78","Arnar Jonsson Helgi","83",81.38,235,262.5,270,235,262.5,270,2.85714285714286,1
"79","Karel Rada #2","83",82.44,-242.5,260,-267.5,242.5,260,267.5,2.88461538461538,0
"80","Gavin Adin","93",92.51,-320,310,317.5,320,310,317.5,2.41935483870968,1
"81","Matthew Lewis Vena","93",92.48,300,305,310,300,305,310,1.63934426229508,1
"82","Richmond Baiden","93",90.72,-282.5,302.5,310,282.5,302.5,310,2.47933884297521,1
"83","Mattias Svensson","93",92.51,272.5,320,-325,272.5,320,325,1.5625,0
"84","Oluwadamilola Fashoranti","93",91.82,270,-320,-320,270,320,320,0,0
"85","Paul Egger","93",92.35,272.5,322.5,325,272.5,322.5,325,0.775193798449612,1
"86","Yulong Li","93",90.75,285,-287.5,-287.5,285,287.5,287.5,0,0
"87","Andrew Blackwood","93",92.89,-270,305,315,270,305,315,3.27868852459016,1
"88","Alfredo Orsini","93",92.81,255,-290,290,255,290,290,0,1
"89","Benjamin Rastum","93",92.87,275,272.5,-280,275,272.5,280,2.75229357798165,0
"90","Niko Lappi","93",92.1,-270,-320,NA,270,320,NA,NA,NA
"91","Alexander Örn Kárason","93",92.94,257.5,-280,-280,257.5,280,280,0,0
"92","John Wortel","93",91.64,245,285,-297.5,245,285,297.5,4.3859649122807,0
"93","Jacob Florelius","93",92.6,235,275,-285,235,275,285,3.63636363636364,0
"94","Ilia Moshkin","93",92.68,252.5,-242.5,242.5,252.5,242.5,242.5,0,1
"95","Mark Dolzhenko","93",91.84,-235,265,NA,235,265,NA,NA,NA
"96","Nejc Rebolj","93",92.46,-250,252.5,257.5,250,252.5,257.5,1.98019801980198,1
"97","Mustafa Yesilyurt","93",92.55,225,-260,-260,225,260,260,0,0
"98","Guillaume Parisot","93",92.54,-270,-310,-310,270,310,310,0,0
"99","Slawomir Sledz","66",63.36,197.5,215,220,197.5,215,220,2.32558139534884,1
"100","Chris Aviado","66",64.58,185,212.5,-215,185,212.5,215,1.17647058823529,0
